特征分析
	将输出的预测label与实际label进行比较，得到二者的分析矩阵。
	编写代码：/home/user1/0TODO/SVM/libsvm-3.21/matlab/distanceofTF
	得到二者的分析矩阵。
	本机G://高分场景分类/dl_mis_ana
	分析结果是有的样本本来就是很难分，人眼都不一定会有好结果。
tommorow work: try different fusion way to get the fusion feature
	17	25	23	27	13	8	9	1	5	7	19	6	21	20	29	2	15	3	16	24	10	11	22	26	30	14	4	12	28	18	F
25	1		1	1	3	7	4	1		2							1	3													24
23	7	4		1		2	1	1	1	1		1	2																		21
27	1	4	1		1	1		2				2			1		2	1		1					1						18
17		2	3	1		2								2	2				2	1											15
6				5						1	1			2	2								1				1				13
1	1			1	3				1							1							2		1						10
8	3				1		1			3			2																		10
7		1		4								3			1																9
13		1						3	1		1	1	1									1									9
15		1					4									1								3							9
24	1		1				1		5					1																	9
2	1							3													2					1					7
21	2		3							1												1									7
5					1								2	1						1											5
9	1	3			1																										5
20									1		2					1						1									5
22					3					1															1						5
29			3	1																											4
4																1				1	1										3
10																1			2												3
26			2														1														3
28											3																				3
11																	1									1					2
16							1																					1			2
19	1																												1		2
30			1					1																							2
3											1																				1
18				1																											1
12																															0
14																															0
T	19	16	15	15	13	12	12	11	9	9	8	7	7	6	6	5	5	4	4	4	3	3	3	3	3	2	1	1	1	0	
